Start Time = Sat Jun 18 09:39:02 2022
[4/501][700/1174]	Loss_D: 0.3181	Loss_G: 2.9514	D(x): 0.8686	D(G(z)): 0.0637 / 0.0597
[4/501][750/1174]	Loss_D: 0.7655	Loss_G: 4.6241	D(x): 0.4945	D(G(z)): 0.0009 / 0.0089
[4/501][800/1174]	Loss_D: 0.4547	Loss_G: 6.8122	D(x): 0.6821	D(G(z)): 0.0001 / 0.0012
[4/501][850/1174]	Loss_D: 0.9560	Loss_G: 1.1401	D(x): 0.3898	D(G(z)): 0.0165 / 0.3322
[4/501][900/1174]	Loss_D: 0.3742	Loss_G: 2.9905	D(x): 0.8925	D(G(z)): 0.1216 / 0.0561
[4/501][950/1174]	Loss_D: 0.2611	Loss_G: 3.6010	D(x): 0.9382	D(G(z)): 0.0473 / 0.0245
[4/501][1000/1174]	Loss_D: 0.7026	Loss_G: 3.1822	D(x): 0.9347	D(G(z)): 0.3826 / 0.0361
[4/501][1050/1174]	Loss_D: 0.3430	Loss_G: 3.4015	D(x): 0.7814	D(G(z)): 0.0246 / 0.0319
[4/501][1100/1174]	Loss_D: 0.2337	Loss_G: 4.3559	D(x): 0.9657	D(G(z)): 0.0156 / 0.0117
[4/501][1150/1174]	Loss_D: 0.2283	Loss_G: 5.3043	D(x): 0.9697	D(G(z)): 0.0064 / 0.0044
[5/501][0/1174]	Loss_D: 0.6349	Loss_G: 0.7502	D(x): 0.6962	D(G(z)): 0.1848 / 0.4876
[5/501][50/1174]	Loss_D: 0.2665	Loss_G: 3.4565	D(x): 0.9349	D(G(z)): 0.0519 / 0.0329
[5/501][100/1174]	Loss_D: 0.2392	Loss_G: 4.2663	D(x): 0.9066	D(G(z)): 0.0159 / 0.0132
[5/501][150/1174]	Loss_D: 0.2275	Loss_G: 5.4083	D(x): 0.9511	D(G(z)): 0.0042 / 0.0039
[5/501][200/1174]	Loss_D: 0.3271	Loss_G: 2.8868	D(x): 0.7929	D(G(z)): 0.0172 / 0.0529
[5/501][250/1174]	Loss_D: 0.3057	Loss_G: 5.4977	D(x): 0.9953	D(G(z)): 0.0057 / 0.0031
[5/501][300/1174]	Loss_D: 0.2781	Loss_G: 4.6021	D(x): 0.8341	D(G(z)): 0.0070 / 0.0081
[5/501][350/1174]	Loss_D: 0.9586	Loss_G: 3.1301	D(x): 0.3777	D(G(z)): 0.0011 / 0.0414
[5/501][400/1174]	Loss_D: 0.2445	Loss_G: 5.9323	D(x): 0.9828	D(G(z)): 0.0066 / 0.0028
[5/501][450/1174]	Loss_D: 0.3564	Loss_G: 3.3275	D(x): 0.9526	D(G(z)): 0.1306 / 0.0320
[5/501][500/1174]	Loss_D: 0.2564	Loss_G: 4.2160	D(x): 0.8833	D(G(z)): 0.0145 / 0.0128
[5/501][550/1174]	Loss_D: 0.2602	Loss_G: 3.3191	D(x): 0.9098	D(G(z)): 0.0387 / 0.0321
[5/501][600/1174]	Loss_D: 0.3412	Loss_G: 1.7889	D(x): 0.9009	D(G(z)): 0.1081 / 0.1614
[5/501][650/1174]	Loss_D: 0.3424	Loss_G: 2.9203	D(x): 0.9749	D(G(z)): 0.1094 / 0.0552
[5/501][700/1174]	Loss_D: 0.3226	Loss_G: 4.0368	D(x): 0.9759	D(G(z)): 0.0826 / 0.0159
[5/501][750/1174]	Loss_D: 0.3767	Loss_G: 4.8807	D(x): 0.7387	D(G(z)): 0.0067 / 0.0070
[5/501][800/1174]	Loss_D: 0.7166	Loss_G: 2.8641	D(x): 0.9199	D(G(z)): 0.3771 / 0.0578
[5/501][850/1174]	Loss_D: 0.2357	Loss_G: 8.9189	D(x): 0.9370	D(G(z)): 0.0031 / 0.0002
[5/501][900/1174]	Loss_D: 0.4290	Loss_G: 2.9533	D(x): 0.8118	D(G(z)): 0.1266 / 0.0475
[5/501][950/1174]	Loss_D: 0.2122	Loss_G: 7.1160	D(x): 0.9547	D(G(z)): 0.0007 / 0.0007
[5/501][1000/1174]	Loss_D: 0.2346	Loss_G: 3.7596	D(x): 0.9310	D(G(z)): 0.0200 / 0.0208
[5/501][1050/1174]	Loss_D: 0.6798	Loss_G: 1.4463	D(x): 0.5665	D(G(z)): 0.0797 / 0.2704
[5/501][1100/1174]	Loss_D: 0.2207	Loss_G: 5.9626	D(x): 0.9565	D(G(z)): 0.0022 / 0.0019
[5/501][1150/1174]	Loss_D: 0.2256	Loss_G: 4.7722	D(x): 0.9414	D(G(z)): 0.0101 / 0.0076
[6/501][0/1174]	Loss_D: 0.3497	Loss_G: 2.7900	D(x): 0.7571	D(G(z)): 0.0051 / 0.0546
[6/501][50/1174]	Loss_D: 0.2751	Loss_G: 3.4180	D(x): 0.9461	D(G(z)): 0.0568 / 0.0387
[6/501][100/1174]	Loss_D: 0.3117	Loss_G: 3.3232	D(x): 0.9840	D(G(z)): 0.0599 / 0.0366
[6/501][150/1174]	Loss_D: 0.2402	Loss_G: 4.7671	D(x): 0.9584	D(G(z)): 0.0123 / 0.0094
[6/501][200/1174]	Loss_D: 0.2771	Loss_G: 3.4134	D(x): 0.8913	D(G(z)): 0.0424 / 0.0318
[6/501][250/1174]	Loss_D: 0.2951	Loss_G: 3.2221	D(x): 0.9144	D(G(z)): 0.0716 / 0.0358
[6/501][300/1174]	Loss_D: 0.3606	Loss_G: 3.2231	D(x): 0.7597	D(G(z)): 0.0043 / 0.0729
